qc_id,objectid,region_nam,parent_cod,district,code,mahalla_no,shape_leng,shape_area,mfy_id,social_dat,social_d_1,social_d_2,social_d_3,social_d_4,social_d_5,social_d_6,social_d_7,social_d_8,social_d_9,social_d10,social_d11,social_d12,social_d13,population,area,density,NDVI_mean,NDVI_mean_1
252,689,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Jalpaq jap OFY,0.566063559,0.010513943,23040006,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,ЖАЛПАК ЖАП,1735,1735212,796,707,"1,319",302,13,30,98,426,450,"1,781",95609668.05,1.86E-08,2957.879639,0.295787964
253,690,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Аbat OFY,0.7488615,0.01217614,23040002,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,АБАТ,1735,1735212,749,640,"1,222",335,19,23,133,283,429,"1,680",110574012.6,1.52E-08,2715.477295,0.271547729
285,722,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Darbent MFY,0.027134673,3.61E-05,23170022,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,16-ДАРБEНТ,1735,1735401,405,336,555,193,7,14,30,6,305,803,329878.1926,0.002434232,1655.796265,0.165579626
255,692,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Havo yo‘li MFY,0.164047786,0.000620546,23170059,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,2-ХАУА ЖОЛЛАРЫ,1735,1735401,497,413,667,247,5,11,37,38,329,"1,006",5667424.739,1.78E-07,1587.023071,0.158702307
291,728,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Tung‘ish qonis MFY,0.023381972,2.68E-05,23170054,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,11-ТУНГЫШ КОНЫС,1735,1735401,385,279,433,122,3,9,15,3,281,673,245237.2212,0.002744282,1427.758789,0.142775879
292,729,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Aq otaw MFY,0.016697436,1.33E-05,23170003,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,48-АК ОТАУ,1735,1735401,206,134,252,72,2,5,19,6,148,385,121936.1266,0.003157391,1416.891968,0.141689197
293,730,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Guzar MFY,0.025217481,2.02E-05,23170020,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,49-ГУЗАР,1735,1735401,278,215,342,104,7,11,32,4,184,532,184851.5722,0.002877985,1644.909424,0.164490942
256,693,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Turon MFY,0.066507593,0.000133651,23170055,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,25-ТЎРАН,1735,1735401,579,457,991,238,7,22,55,118,551,"1,329",1221126.325,1.09E-06,1713.479248,0.171347925
257,694,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Temir yo‘l MFY,0.031638509,4.80E-05,23170053,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,27-ТEМИР ЖОЛ,1735,1735401,446,361,589,163,8,14,29,9,366,863,439040.2759,0.001965651,1454.446655,0.145444666
258,695,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Teleoray MFY,0.077249985,0.000303893,23170052,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,58-ТEЛE ОРАЙ,1735,1735401,906,796,"1,638",453,7,45,108,213,812,"2,222",2778373.826,8.00E-07,1539.731567,0.153973157
259,696,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,O‘rnek MFY,0.033723545,4.59E-05,23170048,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,28-ОРНEК,1735,1735401,172,147,237,78,5,6,15,19,114,367,419026.4477,0.00087584,1484.289795,0.148428979
